Instant,WeekDay,Hour,Operators,LHDs,56 W,58 E,58 R,60 E,60 W,Buckets
552,3,5,14,4,0.09,0,0,0.91,0,11
553,3,6,11,0,0,0.15,0,0.85,0,33
554,3,7,16,0,0.02,0.17,0,0.79,0.02,42
555,3,8,16,0,0,0.25,0,0.74,0.02,53
556,3,9,16,2,0,0.26,0,0.74,0,39
557,3,10,16,4,0,0.24,0.02,0.73,0,45
558,3,11,16,3,0,0,0.1,0.9,0,20
559,3,12,16,5,0,0,0,0,0,0
560,3,13,16,4,0,1,0,0,0,4
561,3,14,12,0,0,0.82,0,0.18,0,22
562,3,15,12,2,0,0,0,0.79,0.21,19
563,3,16,12,0,0.06,0,0,0.78,0.17,18
564,3,17,12,0,0.07,0,0.04,0.63,0.26,27
565,3,18,12,2,0.18,0,0,0.64,0.18,33
566,3,19,12,0,0.17,0,0,0.75,0.08,12
567,3,20,12,0,0,0,0,0,0,0
568,3,21,12,0,0.33,0,0,0.67,0,3
569,3,22,10,0,0.2,0,0,0.8,0,20
570,3,23,11,3,0.27,0,0,0.68,0.05,22
571,4,0,11,3,0.15,0.5,0,0.25,0.1,40
572,4,1,11,4,0,0.46,0,0.46,0.08,13
573,4,2,11,3,0,0.31,0,0.59,0.09,32
574,4,3,11,3,0,0,0,1,0,4
575,4,4,11,4,0,0,0,0,0,0
576,4,5,11,3,0,0,0,1,0,3
577,4,6,6,0,0,0,0,1,0,29
578,4,7,10,0,0.58,0,0,0.42,0,12
579,4,8,10,2,0.5,0.29,0,0.21,0,14
580,4,9,15,2,0.55,0,0,0.45,0,11
581,4,10,15,3,0.17,0,0,0.83,0,24
582,4,11,15,4,0,0,0,0,0,0
583,4,12,15,3,0,0,0,0,0,0
584,4,13,13,3,0,0,0,1,0,3
585,4,14,9,0,0,1,0,0,0,21
586,4,15,12,2,0.11,0.89,0,0,0,18
587,4,16,12,2,0.13,0.81,0,0.06,0,16
588,4,17,14,4,0,1,0,0,0,2
589,4,18,14,5,1,0,0,0,0,7
590,4,19,13,4,0,0,0,0,0,0
591,4,20,13,3,0,0,0,0,0,0
592,4,21,13,0,0,0,0,0,0,0
593,4,22,14,0,0,0,0,0,0,0
594,4,23,10,2,0,0,0,0,0,0
595,5,0,10,2,0,0,0,0,0,0
596,5,1,10,2,0,0,0,0,0,0
597,5,2,10,3,0,0,0,0,0,0
598,5,3,10,2,0,0,0,0,0,0
599,5,4,9,3,0,0,0,0,0,0
600,5,5,9,0,0,0,0,0,0,0
601,5,6,2,0,0,0,0,0,0,0
602,5,7,15,0,0,0,0,0,0,0
603,5,8,22,0,0,0,0,0,0,0
604,5,9,22,3,0,0,0,0,0,0
605,5,10,22,3,0,0,0,0,0,0
606,5,11,22,0,0,0,0,0,0,0
607,5,12,14,2,0,0,0,0,0,0
608,5,13,13,0,0,0,0,0,0,0
609,5,14,2,0,0,0,0,0,0,0
610,5,15,2,0,0,0,0,0,0,0
611,5,16,2,0,0,0,0,1,0,4
612,5,17,2,0,0,0,0,1,0,1
613,5,18,2,0,0,0,0,0,0,0
614,5,19,2,0,0,0,0,0,0,0
615,5,20,2,0,0,0,0,0,0,0
616,5,21,2,0,0,0,0,0,0,0
617,5,22,2,0,0,0,0,0,0,0
618,5,23,2,0,0,0,0,0,0,0
619,6,0,2,0,0,0,0,0,0,0
620,6,1,2,0,0,0,0,0,0,0
621,6,2,2,0,0,0,0,0,0,0
622,6,3,2,0,0,0,0,0,0,0
623,6,4,2,0,0,0,0,0,0,0
624,6,5,2,0,0,0,0,0,0,0
625,6,6,2,0,0,0,0,0,0,0
626,6,7,2,0,0,0,0,0,0,0
627,6,8,2,0,0,0,0,0,0,0
628,6,9,2,0,0,0,0,0,0,0
629,6,10,2,0,0,0,0,0,0,0
630,6,11,2,0,0,0,0,0,0,0
631,6,12,2,0,0,0,0,0,0,0
632,6,13,2,0,0,0,0,0,0,0
633,6,14,2,0,0,0,0,0,0,0
634,6,15,2,0,0,0,0,0,0,0
635,6,16,2,0,0,0,0,0,0,0
636,6,17,2,0,0,0,0,0,0,0
637,6,18,2,0,0,0,0,0,0,0
638,6,19,2,0,0,0,0,0,0,0
639,6,20,2,0,0,0,0,0,0,0
640,6,21,2,0,0,0,0,0,0,0
641,6,22,2,0,0,0,0,1,0,19
642,6,23,2,0,0,0,0,1,0,20
643,7,0,2,0,0,0,0,1,0,20
644,7,1,2,0,0,0,0,1,0,20
645,7,2,2,0,0,0,0,1,0,13
646,7,3,2,0,0,0,0,0,0,0
647,7,4,2,0,0,0,0,0,0,0
648,7,5,2,0,0,0,0,0,0,0
649,7,6,2,0,0,0,0,0,0,0
650,7,7,2,0,0,0,0,0,0,0
651,7,8,2,0,0,0,0,0,0,0
652,7,9,3,0,0,0,0,0,0,0
653,7,10,3,0,0,0,0,0,0,0
654,7,11,3,0,0,0,0,0,0,0
655,7,12,2,0,0,0,0,0,0,0
656,7,13,2,0,0,0,0,0,0,0
657,7,14,2,0,0,0,0,0,0,0
658,7,15,2,0,0,0,0,0,0,0
659,7,16,2,0,0,0,0,0,0,0
660,7,17,2,0,0,0,0,0,0,0
661,7,18,2,0,0,0,0,0,0,0
662,7,19,2,0,0,0,0,0,0,0
663,7,20,2,0,0,0,0,0,0,0
664,7,21,2,0,0,0,0,0,0,0
665,7,22,2,0,0,0,0,0,0,0
666,7,23,2,0,0,0,0,0,0,0
667,1,0,2,0,0,0,0,0,0,0
668,1,1,2,0,0,0,0,0,0,0
669,1,2,2,0,0,0,0,0,0,0
670,1,3,2,0,0,0,0,0,0,0
671,1,4,2,0,0,0,0,0,0,0
672,1,5,2,0,0,0,0,0,0,0
673,1,6,2,0,0,0,0,0,0,0
674,1,7,2,0,0,0,0,0,0,0
675,1,8,2,0,0,0,0,0,0,0
676,1,9,2,0,0,0,0,0,0,0
677,1,10,2,0,0,0,0,0,0,0
678,1,11,2,0,0,0,0,0,0,0
679,1,12,2,0,0,0,0,0,0,0
680,1,13,2,0,0,1,0,0,0,6
681,1,14,2,0,0,0.53,0,0.47,0,43
682,1,15,2,0,0.04,0.04,0,0.93,0,27
683,1,16,2,0,0.19,0.34,0,0.47,0,32
684,1,17,2,0,0.54,0.08,0,0.38,0,13
685,1,18,2,0,0.46,0,0,0.54,0,13
686,1,19,2,0,0,0,0,0,0,0
687,1,20,2,0,0,0,0,0,0,0
688,1,21,2,0,0,0,0,0,0,0
689,1,22,2,0,0,0,0,0,0,0
690,1,23,2,0,0,0,0,0,0,0
691,2,0,2,0,0,0,0,0,0,0
692,2,1,2,0,0,0,0,0,0,0
693,2,2,2,0,0,0,0,0,0,0
694,2,3,2,0,0,0,0,0,0,0
695,2,4,2,0,0,0,0,0,0,0
696,2,5,2,0,0,0,0,0,0,0
697,2,6,4,0,0,0,0,0,0,0
698,2,7,11,2,0,0,0,0,0,0
699,2,8,11,3,0,0,0,0,0,0
700,2,9,11,4,0,0,0,0,0,0
701,2,10,11,4,0,0,0,0,0,0
702,2,11,11,4,0,0,0,0,0,0
703,2,12,11,2,0,0,0,0,0,0
704,2,13,11,0,0,0,0,0,0,0
705,2,14,5,0,0,0,0,0,0,0
706,2,15,5,0,0,0,0,0,0,0
707,2,16,5,0,0,0,0,0,0,0
708,2,17,5,0,0,0,0,0,0,0
709,2,18,5,0,0,0,0,0,0,0
710,2,19,5,0,0,0,0,0,0,0
711,2,20,5,0,0,0,0,0,0,0
712,2,21,5,0,0,0,0,0,0,0
713,2,22,5,0,0,0,0,0,0,0
714,2,23,5,0,0,0,0,0,0,0
715,3,0,5,0,0,0,0,0,0,0
716,3,1,5,0,0,0,0,0,0,0
717,3,2,5,0,0,0,0,0,0,0
718,3,3,5,0,0,0,0,0,0,0
719,3,4,5,0,0,0,0,0,0,0
720,3,5,5,0,0,0,0,0,0,0
721,3,6,6,0,0,0,0,0,0,0
