Instant,WeekDay,Hour,Operators,LHDs,56 W,58 E,58 R,60 E,60 W,Buckets
126,6,11,13,3,0,0,0.27,0.73,0,11
127,6,12,13,3,0.19,0,0.22,0.59,0,27
128,6,13,13,3,0.31,0,0.08,0.62,0,13
129,6,14,9,0,0,0,0,0,0,0
130,6,15,12,3,0.4,0,0.3,0.3,0,10
131,6,16,12,4,0.15,0,0.18,0.67,0,39
132,6,17,12,2,0,0,0.24,0.72,0.04,25
133,6,18,12,2,0,0,0.38,0.63,0,16
134,6,19,12,3,0,0.39,0.18,0.43,0,28
135,6,20,12,4,0.03,0.29,0.23,0.45,0,31
136,6,21,12,2,0,0,0.4,0.6,0,5
137,6,22,11,0,0,0,0,1,0,2
138,6,23,12,4,0.1,0,0.4,0.5,0,10
139,7,0,12,3,0.13,0.33,0.1,0.43,0,30
140,7,1,12,2,0,0.33,0.19,0.48,0,21
141,7,2,12,3,0.2,0,0.7,0.1,0,10
142,7,3,12,4,0.67,0.07,0.27,0,0,15
143,7,4,12,4,0.35,0.38,0.27,0,0,26
144,7,5,12,0,0,0,0,0,0,0
145,7,6,9,0,0,0,0,0,0,0
146,7,7,9,0,0,0,0,0,0,0
147,7,8,9,0,0,0,0,0,0,0
148,7,9,8,0,0,0,0,0,0,0
149,7,10,8,0,0,0,0,0,0,0
150,7,11,8,0,0,0,0,0,1,1
151,7,12,8,0,0,0,0,0,0,0
152,7,13,8,0,0,0,0,0,0,0
153,7,14,8,0,0,0,0,0,0,0
154,7,15,4,0,0,0,0,0,0,0
155,7,16,3,0,0,0,0,0,0,0
156,7,17,3,0,0,0,0,0,0,0
157,7,18,3,0,0,0,0,0,0,0
158,7,19,3,0,0,0,0,0,0,0
159,7,20,3,0,0,0,0,0,0,0
160,7,21,3,0,0,0,0,0,0,0
161,7,22,10,0,1,0,0,0,0,3
162,7,23,10,2,1,0,0,0,0,8
163,1,0,9,3,0.36,0,0,0.64,0,14
164,1,1,9,3,0.17,0,0,0.79,0.04,24
165,1,2,9,3,0.07,0,0,0.93,0,27
166,1,3,9,3,0.3,0,0,0.7,0,20
167,1,4,9,3,0.15,0,0,0.85,0,26
168,1,5,9,2,0,0,0,1,0,11
169,1,6,12,0,0,0,0,0,0,0
170,1,7,8,0,0,0,0,0,0,0
171,1,8,7,0,0,0,0,0,0,0
172,1,9,7,0,0,0,0,0,0,0
173,1,10,7,0,0,0,0,1,0,16
174,1,11,7,0,0,0,0,1,0,20
175,1,12,7,0,0,0,0,1,0,6
176,1,13,7,0,0,0,0,0,0,0
177,1,14,3,0,0,0,0,0,0,0
178,1,15,3,0,0,0,0,0,0,0
179,1,16,4,0,0,0,0,0,0,0
180,1,17,3,0,0,0,0,0,0,0
181,1,18,3,0,0,0,0,0,0,0
182,1,19,3,0,0,0,0,0,0,0
183,1,20,3,0,0,0,0,0,0,0
184,1,21,3,0,0,0,0,0,0,0
185,1,22,6,2,0,0,0,0.88,0.13,8
186,1,23,7,2,0,0,0,1,0,26
187,2,0,7,2,0,0,0,1,0,31
188,2,1,16,3,0,0.04,0,0.96,0,27
189,2,2,16,3,0,0.28,0.09,0.53,0.09,32
190,2,3,16,3,0,0,0.16,0.82,0.03,38
191,2,4,16,3,0,0,0.18,0.79,0.03,33
192,2,5,15,3,0,0,0.25,0.75,0,12
193,2,6,17,0,0,0,0,0,0,0
194,2,7,11,0,0,0,0,0,0,0
195,2,8,11,0,0,0,0,1,0,5
196,2,9,11,6,0.03,0.09,0.03,0.75,0.09,32
197,2,10,11,5,0.1,0,0.07,0.73,0.1,41
198,2,11,11,4,0.2,0,0,0.73,0.07,15
199,2,12,11,4,0.11,0,0,0.78,0.11,37
200,2,13,11,3,0,0,0.05,0.95,0,19
201,2,14,14,0,0,0,0,0,0,0
202,2,15,12,4,0.15,0.55,0,0.25,0.05,20
203,2,16,13,5,0.08,0.19,0.02,0.58,0.13,48
204,2,17,13,3,0.48,0,0,0.52,0,21
205,2,18,13,3,1,0,0,0,0,11
206,2,19,13,2,0.56,0,0,0.44,0,9
207,2,20,13,5,0.13,0,0,0.87,0,38
208,2,21,13,3,0.17,0,0,0.83,0,23
209,2,22,10,0,0,0,0,0,0,0
210,2,23,15,0,0,0,0,1,0,10
211,3,0,15,4,0,0.31,0,0.69,0,42
212,3,1,15,5,0.02,0.13,0.05,0.8,0,55
213,3,2,15,4,0,0,0.03,0.97,0,39
214,3,3,14,4,0,0,0,1,0,31
215,3,4,13,5,0,0,0.24,0.76,0,41
216,3,5,13,3,0,0,0,1,0,11
217,3,6,12,0,0,0,0,0,0,0
218,3,7,10,0,0,1,0,0,0,5
219,3,8,9,0,0,0.18,0,0.82,0,17
220,3,9,9,3,0,0,0,1,0,25
221,3,10,9,3,0,0,0,1,0,29
222,3,11,9,3,0,0,0,0.94,0.06,16
223,3,12,9,2,0,0,0,0.9,0.1,31
224,3,13,9,2,0,0,0,0.71,0.29,14
225,3,14,12,0,0,0,0,0,0,0
226,3,15,13,3,0,0,0.18,0.82,0,22
227,3,16,13,4,0,0,0.13,0.74,0.13,46
228,3,17,13,5,0,0,0.22,0.75,0.03,36
229,3,18,12,4,0.73,0,0,0.27,0,11
230,3,19,12,4,0.16,0,0,0.84,0,38
231,3,20,12,4,0.12,0.25,0,0.63,0,65
232,3,21,12,4,0.17,0.14,0,0.69,0,29
233,3,22,17,0,0,0,0,0,0,0
234,3,23,16,3,0,0.25,0,0.75,0,12
235,4,0,16,4,0,0.37,0,0.63,0,46
236,4,1,16,5,0.06,0.08,0,0.74,0.12,50
237,4,2,16,4,0.16,0,0,0.72,0.12,43
238,4,3,16,4,0.11,0,0,0.78,0.11,37
239,4,4,16,4,0.13,0,0,0.79,0.09,47
240,4,5,16,5,0.17,0,0,0.71,0.13,24
241,4,6,9,0,0,0,0,0,0,0
242,4,7,11,0,1,0,0,0,0,2
243,4,8,11,3,0.22,0,0,0.78,0,32
244,4,9,12,3,0.11,0,0,0.89,0,19
245,4,10,12,2,0,0.44,0,0.56,0,16
246,4,11,12,0,0,0,0,1,0,13
247,4,12,12,3,0.11,0,0.56,0.22,0.11,9
248,4,13,10,3,0,0,0.25,0.75,0,12
249,4,14,12,0,0,0,0,0,0,0
250,4,15,13,4,0.08,0,0.12,0.8,0,25
251,4,16,13,5,0.09,0,0.22,0.69,0,32
252,4,17,13,4,0.1,0.1,0.12,0.69,0,42
253,4,18,13,4,0.11,0.36,0,0.52,0,44
254,4,19,13,6,0.1,0,0,0.9,0,39
255,4,20,13,5,0.17,0,0,0.83,0,41
256,4,21,13,5,0.04,0,0,0.87,0.09,23
257,4,22,12,0,0,0,0,0,0,0
258,4,23,16,2,0,0,0,1,0,9
259,5,0,16,3,0,0,0,1,0,33
260,5,1,16,3,0,0,0,1,0,44
261,5,2,16,4,0.03,0,0,0.97,0,31
262,5,3,16,4,0.05,0,0,0.95,0,21
263,5,4,16,3,0,0,0,1,0,39
264,5,5,16,2,0,0,0,1,0,10
265,5,6,19,0,0,0,0,0,0,0
266,5,7,13,0,0,0,0,0,0,0
267,5,8,13,0,0,0,0,1,0,6
268,5,9,13,0,0,0,0,1,0,14
